savivaldybe,rodiklis,metai,metai_menesis,menesis,nedarbas,vid_nedarbas
Birštono sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202407,7,5.50,
Birštono sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202408,8,5.60,
Birštono sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202409,9,5.70,
Birštono sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202410,10,6.20,
Birštono sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202411,11,6.80,
Birštono sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202412,12,7.00,
Biržų r. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202401,1,11.80,10.65
Biržų r. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202402,2,11.40,
Biržų r. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202403,3,11.40,
Biržų r. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202404,4,10.30,
Biržų r. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202405,5,9.90,
Biržų r. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202406,6,9.90,
Biržų r. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202407,7,10.00,
Biržų r. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202408,8,10.40,
Biržų r. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202409,9,10.20,
Biržų r. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202410,10,10.20,
Biržų r. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202411,11,10.90,
Biržų r. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202412,12,11.40,
Druskininkų sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202401,1,9.00,7.83
Druskininkų sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202402,2,9.00,
Druskininkų sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202403,3,8.70,
Druskininkų sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202404,4,7.60,
Druskininkų sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202405,5,7.20,
Druskininkų sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202406,6,7.40,
Druskininkų sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202407,7,7.40,
Druskininkų sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202408,8,7.20,
Druskininkų sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202409,9,7.00,
Druskininkų sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202410,10,7.10,
Druskininkų sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202411,11,7.70,
Druskininkų sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202412,12,8.60,
Elektrėnų sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202401,1,8.00,7.24
Elektrėnų sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202402,2,7.90,
Elektrėnų sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202403,3,8.00,
Elektrėnų sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202404,4,7.00,
Elektrėnų sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202405,5,6.50,
Elektrėnų sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202406,6,7.30,
Elektrėnų sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202407,7,7.00,
Elektrėnų sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202408,8,7.40,
Elektrėnų sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202409,9,6.80,
Elektrėnų sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202410,10,6.70,
Elektrėnų sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202411,11,7.00,
Elektrėnų sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202412,12,7.30,
Ignalinos r. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202401,1,13.40,12.48
Ignalinos r. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202402,2,13.20,
